Employee_ID,Date,Work_Hours,Tasks_Completed,Department,Absences
9,2024-01-04,8,4,Marketing,No
8,2024-01-10,5,5,Finance,No
17,2024-01-04,6,3,Marketing,No
12,2024-01-16,8,3,HR,No
7,2024-01-10,8,1,Finance,Yes
4,2024-01-15,5,4,HR,Yes
17,2024-01-13,8,5,Finance,No
3,2024-01-14,7,8,Finance,Yes
3,2024-01-03,5,7,HR,No
2,2024-01-04,8,1,HR,Yes
14,2024-01-10,9,1,Finance,No
18,2024-01-15,8,4,IT,Yes
3,2024-01-16,5,6,HR,No
18,2024-01-09,6,2,Marketing,No
11,2024-01-01,8,2,HR,No
20,2024-01-02,7,8,HR,Yes
1,2024-01-13,9,5,Finance,Yes
15,2024-01-15,9,4,Finance,Yes
2,2024-01-18,8,4,Finance,No
9,2024-01-16,9,4,IT,Yes
